id,name,description,total_collected,phone,url
0,Крохино,"Благотворительный фонд «Центр возрождения культурного наследия «Крохино» создан в 2010 году для реализации общественных проектов по сохранению культурного наследия. Помимо консервации отдельных архитектурных памятников мы делаем всё возможное для развития добровольчества и благотворительности в сфере наследия и культуры. Ключевым для фонда является одноимённый проект «Крохино», созданный для сохранения исторической памяти затопленных территорий и консервации затопленного храма-маяка в истоке реки Шексны из Белого озера.",7900,+7 926 254-28-92,krokhino.ru
1,Код Добра,"Фонд «Код Добра» создан VK, чтобы увеличить вклад компании в инфраструктуру развития благотворительности в России.",1,,
2,Белый Ирис,"Благотворительный фонд «Сохранение культурного наследия «Белый Ирис» создан 28 апреля 2016 года для сохранения объектов культурного наследия на сельских территориях и повышения уровня благополучия местных жителей. К сожалению, за разрушением сельского храма следует исчезновение самого села. Мы, команда Фонда, верим, что через сохранение храмов, решение социальных проблем людей, проживающих на этих территориях, развитие туризма и организацию культурно-досуговых мероприятий, сможем возродить селы и деревни. Кроме этого мы занимаемся обучением инициативных граждан, которые желают восстановить старинные сельские храмы, но пока не знают, как это сделать.",9200,,
3,Красивые дети в красивом мире,Фонд «Красивые дети в красивом мире» создан в 2013 году и реализует две благотворительные программы «Красивые дети» и «Красивый мир».,0,+7 495 644-28-54,www.detipriroda.ru
4,Мой Байкал,"Иркутская региональная экологическая общественная организация «Мой Байкал» создана в 2016 году для того, чтобы сохранять и беречь природу озера Байкал. Цель фонда — ликвидация свалок и очистка побережья озера Байкала с применением раздельного сбора отходов, развитие экологического волонтерства и экопросвещения населения. Для решения задач в рамках проектов команда организации проводит акции по уборке побережья озера с волонтерами, экологические фестивале на Байкале, акции по сбору вторсырья с волонтерами и лекции для местных жителей проживающих вблизи озера, вебинары в онлайн формате для всех интересующихся темой экологии, а также снимает ролики на тему экологии.",4900,,
6,Большая Байкальская Тропа,"Ассоциация Большая Байкальская Тропа одна из старейших экологических волонтерских организаций России. С 2003 года Ассоциация ББТ работает со всеми заповедниками и национальными парками на Байкале, а с 2014 года передает опыт по России.",1400,+7 950 131-23-53,greatbaikaltrail.org
7,Второе дыхание,"Благотворительный фонд «Второе дыхание» – одна из крупнейших некоммерческих организаций в России, которая превращает ненужные вещи в помощь другим. ",21180,+7 499 110-32-30,vtoroe.ru
8,География Добра,"Благотворительный фонд «География Добра» основан в г. Кострома в 2015 году. Деятельность Фонда реализуется в 16 социально-значимых проектах по оказанию помощи детям и взрослым с тяжелыми, редкими и трудноизлечимыми заболеваниями, одаренным детям, семьям в сложной жизненной ситуации, многодетным и малообеспеченным семьям, храмам и приютам, бездомным людям, животным, экологии.",0,+7 800 222-24-42,geografiyadobra.ru
9,Озеро Байкал,"Фонд поддержки прикладных экологических разработок и исследований «Озеро Байкал» - один из первых частных некоммерческих эко-фондов в России. С 2016 года мы реализуем инициативы, направленные на сохранение озера Байкал и устойчивое развития Байкальской природной территории.",32650,+7 963 611-25-92,baikalfoundation.ru
10,Мусора.Больше.Нет,"«Мусора.Больше.Нет» — общественная экологическая организация, которая занимается просветительской и организаторской деятельностью на территории России с 2010 года. Миссия: формируем осознанное отношение к окружающей среде для устойчивого развития общества.",6,+7 981 840-95-91,mbnrus.ru
11,Природа и люди,"«Природа и люди» — новый российский природоохранный фонд.Цель Фонда – объединить экспертов, ответственный бизнес и неравнодушных людей, чтобы вместе сохранить природу России. Фонд реализует природоохранные проекты и проводит экологический консалтинг бизнеса; сохраняет целостность экосистем, редкие виды растений и животных, и помогает людям заботиться о природе, ведь все мы — ее неотъемлемая часть.",628,,
12,Собиратор,"«Собиратор» — благотворительный проект и экосообщество, развивающее раздельный сбор отходов и экопривычки в России.",36,+7 495 649-29-01,sobirator.ru
13,Ласка,"Приют для бездомных собак и кошек «Ласка» уже более 20 лет помогает попавшим в беду животным города Барнаула. Наша главная цель – минимизация бездомных животных на улицах города гуманными методами. Наш путь начался с инициативной группы любительниц животных, которые смогли организовать сначала небольшую сеть передержек по городу, а затем и полноценный приют. Спустя два десятка лет приют «ЛАСКА» – это не просто место содержания 650 собак и 150 кошек, а место встречи друзей! Это уникальный зооцентр для всех любителей домашних животных с уютными котокомнатами, удобными секциями выгула и дрессировки собак, ветеринарной клиникой, пунктом льготной стерилизации и консультационно-просветительским центром.",50,+7 385 257-35-57,priuti.ru
14,НИКА,Благотворительный фонд помощи бездомным животным «НИКА» был создан летом 2011 года и начал свою деятельность с создания небольшого приюта для 50 брошенных животных: кошек и собак. На сегодняшний день общее количество подопечных фонда более 800.,100,+7 499 938-52-42,fond-nika.ru
15,Вирта,"Фонд «Вирта» создан в 2011 году, мы занимаемся помощью бездомным животным уже 14 лет. Мы лечим и стерилизуем бездомных животных, а в 2023 году мы запустили очень важную программу «Риобилитация» – паллиативная помощь пожилым и неизлечимо больным бездомным животным. ",350,+7 495 220-13-94,tvoya-sobaka.ru
17,Ключ Добра,"Благотворительный фонд «Ключ Добра» создан в 2019 году для помощи бездомным кошкам и собакам в городе, где нет государственных приютов или иной помощи.  ",50,+7 991 076-94-04,kluchdobra.ru
19,РусДог,Общественная организация защиты животных «РусДог» с 2009 года решает проблему бездомности животных.,350,,
20,Учебно-кинологический центр «Собаки-помощники»,"C 2003 года учебно-кинологический центр «Собаки-помощники» обучает собак-поводырей, которых бесплатно передаём людям с инвалидностью по зрению, а также собак-терапевтов для занятий с детьми с особенностями развития.",0,+7 498 698-20-68,www.guidedogs.ru
21,Маленькая жизнь,Автономная некоммерческая организация помощи животным «Маленькая жизнь» была основана в 2013 году в городе Магнитогорск для системного решения проблем бездомности животных и ответственного отношения людей к своим питомцам и окружающей среде.,0,+7 961 577-41-84,littlelife74.ru
22,Преданное сердце,"АНО «Приют для животных «Преданное сердце» с 2016 года помогает бездомным животным. За это время мы спасли более 10 000 животных, и сейчас оказываем поддержку более 900 подопечным. Мы заботимся о каждом: кормим, лечим, восстанавливаем после серьёзных уличных травм, вакцинируем, стерилизуем.Кроме того, мы выстраиваем экосистему заботы о животных: проводим образовательные программы и передаём животных только в ответственные и надёжные семьи.Строим первый в Санкт-Петербурге Центр помощи бездомным животным.Наша миссия – мы создаем культуру заботы о животных, для того чтобы бездомные кошки и собаки перестали быть проблемой.",29423,+7 921 953-09-18,predannoeserdce.ru
